title,authors,categories,average_rating,ratings_count
Eaters of the Dead,Michael Crichton,Fiction,3.66,27412.0
Genome,Matt Ridley,Science,4.03,20077.0
The Zero,Jess Walter,Fiction,3.5,1930.0
Kitchen Confidential Updated Ed,Anthony Bourdain,Biography & Autobiography,4.06,168706.0
DREAM & THE UNDERWOR,James Hillman,Psychology,4.23,709.0
The Crying of Lot 49,Thomas Pynchon,Fiction,3.7,54061.0
An American Childhood,Annie Dillard,Biography & Autobiography,3.91,7086.0
Teaching a Stone to Talk,Annie Dillard,Literary Criticism,4.2,4046.0
Holy the Firm,Annie Dillard,Literary Criticism,4.22,3562.0
Think on These Things,Jiddu Krishnamurti,Religion,4.4,2288.0
The Dance of Intimacy,Harriet Lerner,Psychology,4.06,7128.0
Tell My Horse,Zora Neale Hurston,Fiction,3.97,1380.0
Jonah's Gourd Vine,Zora Neale Hurston,Fiction,4.0,1619.0
The Chaneysville Incident,David Bradley,History,3.96,650.0
The Writing Life,Annie Dillard,Literary Criticism,4.03,11177.0
The Lost Continent,Bill Bryson,Travel,3.83,43779.0
Three by Annie Dillard,Annie Dillard,Fiction,4.34,550.0
Declarations of Independence,Howard Zinn,Political science,4.26,720.0
The Complete Stories,Zora Neale Hurston,Fiction,4.25,735.0
"Legends, Lies & Cherished Myths of World History",Richard Shenkman,History,3.48,215.0
The Infinite Plan,Isabel Allende,Fiction,3.71,7102.0
Soul Mates,Thomas Moore,Psychology,4.0,4122.0
"Cathedral, Forge and Waterwheel",Joseph Gies,History,3.85,612.0
The Throne of the Third Heaven of the Nations Millennium General Assembly,Denis Johnson,Poetry,4.16,556.0
Success Stories,Russell Banks,Fiction,3.72,148.0
Testaments Betrayed,Milan Kundera,Literary Collections,4.04,1247.0
Mr. Ives' Christmas,Oscar Hijuelos,Fiction,3.76,912.0
Slowness,Milan Kundera,Fiction,3.66,9454.0
As Nature Made Him,John Colapinto,Medical,3.97,5282.0
The Active Side of Infinity,Carlos Castaneda,"Body, Mind & Spirit",4.16,1890.0
You Can't Go Home Again,Thomas Wolfe,Fiction,4.05,3922.0
The Fifth Mountain,Paulo Coelho,Fiction,3.62,749.0
V.,Thomas Pynchon,Fiction,3.96,1364.0
The Poisonwood Bible,Barbara Kingsolver,Fiction,4.05,5449.0
Cloudsplitter,Russell Banks,Fiction,3.9,3489.0
"Plato, Not Prozac!",Lou Marinoff,Philosophy,3.39,836.0
The Map That Changed the World,Simon Winchester;Soun Vannithone,Biography & Autobiography,3.82,10159.0
The Odyssey of Homer,Homer,Fiction,3.75,1100.0
Collected Novellas,Gabriel Garcia Marquez,Fiction,4.01,822.0
Collected Stories,Gabriel Garcia Marquez,Fiction,4.19,6132.0
A Mulligan for Bobby Jobe,Robert Cullen,Fiction,3.31,57.0
In the Footsteps of Mr. Kurtz,Michela Wrong,History,3.98,2310.0
Every Tongue Got to Confess,Zora Neale Hurston,Literary Criticism,3.98,312.0
Kitchen Confidential,Anthony Bourdain,Biography & Autobiography,4.06,2428.0
One Matchless Time,Jay Parini,Biography & Autobiography,3.97,184.0
The Girl in the Glass,Jeffrey Ford,Fiction,3.72,756.0
The Best American Science Writing 2002,Matt Ridley;Alan Lightman,Science,3.88,66.0
Wittgenstein's Poker,David Edmonds;John Eidinow,Philosophy,3.75,2215.0
Smart Discipline(R),Larry Koenig,Family & Relationships,3.99,12.0
The Schopenhauer Cure,Irvin Yalom,Fiction,4.21,8663.0
African Nights,Kuki Gallmann,Biography & Autobiography,3.8,302.0
The Autobiography of Mark Twain,Charles Neider,Biography & Autobiography,4.05,2746.0
Joy in the Morning,Betty Smith,Fiction,3.9,5559.0
The Darling,Russell Banks,Fiction,3.78,1939.0
The Making of a Philosopher,Colin McGinn,Philosophy,3.65,219.0
The Language Instinct,Steven Pinker,Language Arts & Disciplines,4.05,14293.0
Prodigal Summer,Barbara Kingsolver,Fiction,4.0,85440.0
Tales of the City,Armistead Maupin,Fiction,4.04,953.0
Fear of Falling,Barbara Ehrenreich,Social Science,3.9,321.0
The Hidden Hand,Carroll John Daly,Fiction,3.43,5.0
Europe,Norman Davies,History,4.17,3242.0
Savage Inequalities,Jonathan Kozol,Education,4.24,15021.0
Gold Bug Variations,Richard Powers,Fiction,4.13,1383.0
Three Farmers on Their Way to a Dance,Richard Powers,Fiction,3.84,709.0
The Fourteen Sisters of Emilio Montez O'Brien,Oscar Hijuelos,Fiction,3.69,457.0
Fiskadoro,Denis Johnson,Fiction,3.54,1463.0
The Stars at Noon,Denis Johnson,Fiction,3.59,566.0
Operation Wandering Soul,Richard Powers,Fiction,3.62,366.0
Reasons to Live,Amy Hempel,Fiction,4.16,2651.0
Prisoner's Dilemma,Richard Powers,Fiction,3.87,517.0
