title,authors,categories,average_rating,ratings_count
The God of Small Things,Arundhati Roy,Fiction,3.93,6549.0
Courtesans and Fishcakes,James Davidson,History,3.93,332.0
Girlfriend in a Coma,Douglas Coupland,Fiction,3.61,15469.0
The Long Hard Road Out of Hell,Marilyn Manson;Neil Strauss,Biography & Autobiography,3.89,21524.0
Confessions of an Ugly Stepsister,Gregory Maguire,Fiction,3.52,53017.0
The Dirt,Tommy Lee;Vince Neil;Nikki Sixx;Mick Mars,Biography & Autobiography,4.16,26377.0
Life Is Elsewhere,Milan Kundera;Aaron Asher,Fiction,3.95,9792.0
Cat Laughing Last,Shirley Rousseau Murphy,Fiction,4.21,638.0
The Crow: The Lazarus Heart,Poppy Z. Brite,Fiction,3.7,1334.0
The Light Fantastic,Terry Pratchett,Fiction,3.97,86465.0
U.S.S. Seawolf,Patrick Robinson,Fiction,3.94,1523.0
Realms of Dragons,Margaret Weis;Denise Little;Tracy Hickman,Fiction,4.04,47.0
The Player of Games,Iain Banks,Fiction,4.27,43988.0
My Soul to Keep,Tananarive Due,Fiction,4.18,3575.0
Peril's Gate,Janny Wurts,Fiction,4.15,518.0
Fugitive Prince,Janny Wurts,Fiction,3.88,59.0
Love in Vein,Poppy Z. Brite,Fiction,3.6,2391.0
Cat on the Edge,Shirley Rousseau Murphy,Fiction,3.9,1855.0
Cat in the Dark,Shirley Rousseau Murphy,Fiction,4.25,696.0
Treasure Box,Orson Scott Card,Fiction,3.32,3603.0
Homebody,Orson Scott Card,Fiction,3.39,2660.0
Imajica II,Clive Barker,Fiction,4.42,2538.0
Choke,Stuart Woods,Fiction,3.83,2218.0
Dirt,Stuart Woods,Fiction,3.88,6000.0
Kilo Class,Patrick Robinson,Fiction,4.04,1671.0
Their Eyes Were Watching God,Zora Neale Hurston,Fiction,3.9,209110.0
A Tree Grows in Brooklyn,Betty Smith,Fiction,4.26,326733.0
Daughter of Fortune,Isabel Allende,Fiction,3.9,95447.0
By the River Piedra I Sat Down and Wept,Paulo Coelho,Fiction,3.57,68403.0
The Alchemist,Paulo Coelho,Fiction,3.85,1592632.0
Veronika Decides to Die,Paulo Coelho,Fiction,3.7,126224.0
Goodnight Moon 123,Margaret Wise Brown;Clement Hurd,Juvenile Fiction,3.59,189.0
Charlotte's Web Signature Edition,E. B. White,Juvenile Fiction,4.16,226.0
By Myself and Then Some,Lauren Bacall,Biography & Autobiography,3.95,2720.0
The Art of Loving,Erich Fromm,Self-Help,4.03,35605.0
Factotum tie-in,Charles Bukowski,Fiction,3.96,395.0
The White Masai,Corinne Hofmann,Biography & Autobiography,3.43,4314.0
Mandy,Julie Andrews Edwards,Juvenile Fiction,4.24,9482.0
The Crusader,Paul Kengor,Political Science,4.2,132.0
Spider's House,Paul Bowles,Fiction,4.03,1060.0
Days,Paul Bowles,Fiction,3.3,117.0
Howl,Allen Ginsberg;Barry Miles,Poetry,4.22,176.0
Coraline,Neil Gaiman,Fiction,4.05,377685.0
Points in Time,Paul Bowles,Fiction,3.68,173.0
At the Edge,Cait London,Fiction,3.79,272.0
Remind Me Again Why I Need A Man,Claudia Carroll,Fiction,3.31,672.0
Stardust,Neil Gaiman,Fiction,4.08,264799.0
When the Heart Waits,Sue Monk Kidd,Religion,4.17,2141.0
The Gabriel Hounds,Mary Stewart,Fiction,3.91,3542.0
The Pact,Jodi Picoult,Fiction,4.01,237587.0
Ines of My Soul LP,Isabel Allende,Fiction,3.92,45.0
Women,Charles Bukowski,Fiction,3.87,49265.0
Smithsonian Intimate Guide to Human Origins,Carl Zimmer,Social Science,4.0,167.0
My secret,Frank Warren,Antiques & Collectibles,4.34,5801.0
The Secret Lives of Men and Women,Frank Warren,Self-Help,4.37,5359.0
To Kill a Mockingbird (slipcased edition),Harper Lee,Fiction,4.27,250.0
The Complete C. S. Lewis Signature Classics,C. S. Lewis,Religion,4.61,873.0
The End of Days,Zecharia Sitchin,History,4.06,470.0
The Blue and Brown Books,Ludwig Wittgenstein,Philosophy,4.13,1970.0
The Pursuit of Happyness,Chris Gardner,Biography & Autobiography,3.96,1018.0
What A Lady Wants,Victoria Alexander,Fiction,3.96,1018.0
A Little Bit Wicked,Victoria Alexander,Fiction,3.96,1018.0
The Wit and Wisdom of Winston Churchill,James C. Humes,History,3.96,1018.0
"Sleep, Pale Sister",Joanne Harris,Fiction,3.96,1018.0
Midnighters #2: Touching Darkness,Scott Westerfeld,Young Adult Fiction,3.96,1018.0
The Queen of Attolia,Megan Whalen Turner,Young Adult Fiction,3.96,1018.0
The Collected Poetry of Nikki Giovanni,Nikki Giovanni,Poetry,3.96,1018.0
Sugarplums and Scandal,Dana Cameron;Mary Daheim;Lori Avocato;Kerrelyn Sparks;Suzanne Macpherson;Cait London,Fiction,3.96,1018.0
"How to Buy, Sell, and Profit on eBay",Adam Ginsberg,Business & Economics,3.96,1018.0
Owning Your Own Shadow,Robert A. Johnson,Self-Help,4.07,2432.0
The World's Religions,Huston Smith,History,4.07,8383.0
A Manual for Living,Epictetus,Religion,4.22,148.0
The Pilgrimage,Paulo Coelho;Alan R. Clarke,Fiction,3.65,878.0
The Valkyries,Paulo Coelho,Fiction,3.31,696.0
Rainforest Home Remedies,Rosita Arvigo;Nadine Epstein,Health & Fitness,4.12,65.0
A Circle of Quiet,Madeleine L'Engle,Religion,4.21,4985.0
Bulfinch's Mythology,Richard P. Martin,Reference,4.1,64.0
Romanticism,Hugh Honour,Art,3.73,41.0
Betsy-Tacy,Maud Hart Lovelace,Juvenile Fiction,4.07,20496.0
Betsy and Tacy Go Over the Big Hill,Maud Hart Lovelace,Juvenile Fiction,4.17,7661.0
Heaven to Betsy,Maud Hart Lovelace,Juvenile Fiction,4.29,5224.0
Let the Hurricane Roar,Rose Wilder Lane,Families,3.96,179.0
The Wish Giver,Bill Brittain,Juvenile Fiction,3.83,2117.0
Racso and the Rats of NIMH,Jane Leslie Conly,Juvenile Fiction,3.76,3231.0
Child of the Owl,Laurence Yep,Juvenile Fiction,3.6,423.0
"R-T, Margaret, and the Rats of NIMH",Jane Leslie Conly,Juvenile Fiction,3.52,631.0
The Rainbow People,Laurence Yep,Juvenile Fiction,3.75,202.0
Dragon's Gate,Laurence Yep,Juvenile Fiction,3.67,1806.0
Betsy's Wedding,Maud Hart Lovelace,Juvenile Fiction,4.31,4054.0
Betsy and the Great World,Maud Hart Lovelace,Juvenile Fiction,4.13,4689.0
Betsy and Joe,Maud Hart Lovelace,Juvenile Fiction,4.31,4411.0
Betsy Was a Junior,Maud Hart Lovelace,Juvenile Fiction,4.17,4744.0
Crazy Lady!,Jane Leslie Conly,Juvenile Fiction,3.64,1481.0
Strawberry Girl 60th Anniversary Edition,Lois Lenski,Juvenile Fiction,3.86,10655.0
Seven Spiders Spinning,Gregory Maguire,Juvenile Fiction,3.61,259.0
American Dragons,Laurence Yep,Juvenile Fiction,3.41,63.0
The Midwife's Apprentice (rpkg),Karen Cushman,Juvenile Fiction,3.72,35319.0
Winter on the Farm,Laura Ingalls Wilder,Juvenile Fiction,4.13,400.0
Down to the Bonny Glen,Melissa Wiley,Juvenile Fiction,4.14,1438.0
Monster,Walter Dean Myers,Juvenile Fiction,3.71,53833.0
Emily of Deep Valley,Maud Hart Lovelace,Juvenile Fiction,4.23,2637.0
The Trumpet of the Swan,E. B. White,Juvenile Fiction,4.07,61304.0
The Good Liar,Gregory Maguire,Juvenile Fiction,3.53,122.0
Old Town in the Green Groves,Cynthia Rylant;Jim LaMarche,Juvenile Fiction,4.04,4631.0
Howl's Moving Castle,Diana Wynne Jones,Juvenile Fiction,4.3,148957.0
Four Stupid Cupids,Gregory Maguire,Juvenile Fiction,3.52,110.0
Charlotte's Web (full color),E. B. White,Juvenile Fiction,4.16,1229902.0
Little House Friends,Heather Henson;Laura Ingalls Wilder,Juvenile Fiction,3.99,70.0
Christmas Stories,Laura Ingalls Wilder,Juvenile Fiction,4.22,63.0
Winter Days in the Big Woods,Laura Ingalls Wilder,Juvenile Fiction,4.28,1487.0
Christmas in the Big Woods,Laura Ingalls Wilder,Juvenile Fiction,4.19,2062.0
A Little House Birthday,Laura Ingalls Wilder,Juvenile Fiction,4.13,444.0
The Deer in the Wood,Laura Ingalls Wilder,Juvenile Fiction,4.17,302.0
A Little Prairie House,Laura Ingalls Wilder,Juvenile Fiction,4.19,1533.0
Grizzwold,Syd Hoff,Juvenile Fiction,3.8,206.0
Chester,Syd Hoff,Juvenile Fiction,3.75,187.0
Captain Cat,Syd Hoff,Juvenile Fiction,3.66,107.0
My Little House Crafts Book,Carolyn Strom Collins,Juvenile Nonfiction,4.05,56.0
Pioneer Girl,William Anderson,Juvenile Nonfiction,4.15,414.0
Shade's Children (rack),Garth Nix,Juvenile Fiction,3.9,10368.0
All-American Girl,Meg Cabot,Juvenile Fiction,3.74,58422.0
Hexwood,Diana Wynne Jones,Young Adult Fiction,3.99,3419.0
A Light in the Attic Book and CD,Shel Silverstein,Juvenile Nonfiction,4.34,590.0
The Chronicles of Narnia (adult),C. S. Lewis,Fiction,4.26,425445.0
What Would Machiavelli Do?,Stanley Bing,Humor,3.46,434.0
The Sense of Wonder,Rachel Carson,Nature,4.39,1160.0
Virgin,James Patterson,Fiction,3.86,300.0
Mission Possible,Ken Blanchard;Terry Waghorn,Business & Economics,3.42,0.0
Crucial Conversations,Kerry Patterson;Joseph Grenny;Ron McMillan;Al Switzler,Business & Economics,4.01,36535.0
How to Talk to Anyone : 92 Little Tricks for Big Success in Relationships,Leil Lowndes,Family & Relationships,3.78,15488.0
"Easy French Reader, Second Edition",R. de Roussy de Sales,Foreign Language Study,3.84,292.0
Slim to None,Jennifer Hendricks,Biography & Autobiography,3.65,574.0
Practice Makes Perfect: Italian Verb Tenses,Paola Nanni-Tate,Foreign Language Study,4.0,9.0
"Goodman & Gilman's The Pharmacological Basis of Therapeutics, Eleventh Edition",Laurence Brunton;John Lazo;Keith Parker,Medical,3.96,1018.0
"Incident Response & Computer Forensics, 2nd Ed.",Kevin Mandia;Chris Prosise,Computers,3.68,44.0
The Last Dance,Lynne Ann DeSpelder;Albert Lee Strickland,Social Science,3.77,112.0
Heat and Mass Transfer,Yunus A. Çengel,Heat,4.16,182.0
The Complete Works,Tacitus,History,4.29,267.0
My Sweet-orange Tree,José Mauro de Vasconcelos,Juvenile Nonfiction,4.39,49.0
Who Moved My Cheese?,Spencer Johnson,Self-Help,3.78,288074.0
How to Have a Beautiful Mind,Edward De Bono,Self-Help,3.63,1508.0
The Toy Maker,Anthony McReavy,Biography & Autobiography,3.0,1.0
Darwin's Watch,Terry Pratchett;Ian Stewart;Jack Sidney Cohen,Cosmology,3.94,3481.0
A Time to Kill,John Grisham,Fiction,4.06,700.0
"""Surely You're Joking, Mr. Feynman!""",Richard Phillips Feynman;Ralph Leighton,Physicists,4.28,1700.0
Timequake,Kurt Vonnegut,Fiction,3.72,23529.0
Blood and Gold,Anne Rice,Fiction,3.89,27476.0
An Imaginary Life,David Malouf,Australian fiction,3.87,1469.0
The Great World,David Malouf,Australia,3.87,514.0
The Risk Pool,Richard Russo,Families,4.03,4856.0
Survivor,Chuck Palahniuk,American fiction,3.92,49342.0
Bagombo Snuff Box,Kurt Vonnegut,American fiction,3.72,7849.0
Ali and Nino,Kurban Said,Azerbaijan,3.92,131.0
A Star Called Henry,Roddy Doyle,Dublin (Ireland),3.83,6675.0
Set this House on Fire,William Styron,Americans,3.7,551.0
The Confessions of Nat Turner,William Styron,Slave insurrections,3.97,82.0
Experience,Martin Amis,"Amis, Kingsley",3.96,70.0
Hannibal,Thomas Harris,Dangerously mentally ill,3.75,67365.0
Operation Shylock,Philip Roth,American literature,3.77,3013.0
The First Forty-nine Stories,Ernest Hemingway,Fiction,3.99,824.0
The Professor of Desire,Philip Roth,Fiction,3.65,1950.0
The Phantom Menace,Terry Brooks;George Lucas,Life on other planets,3.56,12696.0
Traitor,Matthew Woodring Stover,Science fiction,4.0,6765.0
Star by Star,Troy Denning,Life on other planets,3.95,7590.0
Fury,Salman Rushdie,Anger,3.29,6551.0
Yeats is Dead!,Joseph O'Connor,Comedy,3.39,34.0
The Dying Animal,Philip Roth,College teachers,3.62,5683.0
Illusions,Richard Bach,Adventure stories,4.15,48723.0
In the Pond,Ha Jin,China,3.71,1212.0
How to Travel with a Salmon and Other Essays,Umberto Eco,Essays,3.85,106.0
The Trial,Franz Kafka,Fiction,3.98,158037.0
Turtle Moon,Alice Hoffman,Mothers and sons,3.82,7348.0
Atonement,Ian McEwan,Atonement,3.89,4537.0
A Birthday for Frances,Russell Hoban,Badgers,4.22,2152.0
The Gangs of New York,Herbert Asbury,Gangs,3.59,143.0
The Whore's Child and Other Stories,Richard Russo,Human behavior,3.75,2653.0
In Watermelon Sugar,Richard Brautigan,Social action,4.02,9594.0
Blackwood Farm,Anne Rice,Horror,3.86,26145.0
The Carpenter's Pencil,Manuel Rivas,Galicia (Spain : Region),3.6,628.0
Sputnik Sweetheart,Haruki Murakami,Businesswomen,3.82,73452.0
"South of the Border, West of the Sun",Haruki Murakami,Domestic fiction,3.87,56172.0
The Elephant Vanishes,Haruki Murakami,Japan,3.86,1233.0
Dance Dance Dance,Haruki Murakami,Crime investigation,4.04,47494.0
The Rings of Saturn,Winfried Georg Sebald,"Authors, German",4.26,390.0
Elephant,Raymond Carver,"Short stories, American",4.11,1063.0
"Will You Please be Quiet, Please",Raymond Carver,Short stories,4.27,9697.0
The Time of Our Singing,Richard Powers,African Americans,4.24,1718.0
The Spook's Apprentice,Joseph Delaney,Exorcism,3.98,2733.0
Human Traces,Sebastian Faulks,Europe,3.63,3388.0
Blood Canticle,Anne Rice,Horror tales,3.72,18646.0
Underground,Haruki Murakami,Cults,3.9,10003.0
Open House,Elizabeth Berg,Divorced women,3.7,61.0
Like a Charm,Karin Slaughter,Bracelets,3.5,1241.0
Bleachers,John Grisham,Death,3.47,30096.0
Earthly Powers,Anthony Burgess,Fiction,4.15,2022.0
The Mummy,Anne Rice,Egyptologists,3.83,36906.0
Lasher,Anne Rice,Demonology,3.85,48445.0
Survivor's Quest,Timothy Zahn,Life on other planets,3.97,7028.0
Women Who Love Too Much,Robin Norwood,Alcoholics,4.0,239.0
The Talisman Ring,Georgette Heyer,Great Britain,4.0,5332.0
The Convenient Marriage,Georgette Heyer,Fiction,3.68,8899.0
Lady of Quality,Georgette Heyer,Fiction,3.87,5706.0
A Very Long Engagement,Sébastien Japrisot,Feature films [DVD],3.91,79.0
False Colours,Georgette Heyer,Brothers,3.85,4332.0
Sprig Muslin,Georgette Heyer,England,3.79,4847.0
Catch-22,Joseph Heller,Fiction,3.98,5307.0
The Quiet American,Graham Greene,Americans,3.97,1204.0
The Heart of the Matter,Graham Greene,Fiction,3.99,21116.0
The End of the Affair,Graham Greene,Adultery,3.94,36230.0
Enduring Love,Ian McEwan,Accidents,3.63,29552.0
For Whom the Bell Tolls,Ernest Hemingway,Americans,3.96,162.0
Skipping Christmas,John Grisham,Christmas,3.48,44098.0
All Quiet on the Western Front,Erich Maria Remarque,"World War, 1914-1918",3.95,1018.0
Watermelon,Marian Keyes,Fiction,3.78,63160.0
The Invisible Writing,Arthur Koestler,"Authors, English",4.35,111.0
Dublin 4,Maeve Binchy,Domestic fiction,3.64,2089.0
Circle of Friends,Maeve Binchy,College attendance,4.02,50668.0
"Victoria Line, Central Line",Maeve Binchy,London (England),3.59,928.0
Firefly Summer,Maeve Binchy,Domestic fiction,3.9,10461.0
Airframe,Michael Crichton,Adventure stories,3.7,65778.0
Midnight's Children,Salman Rushdie,Children of the rich,3.99,83826.0
Sabbath's Theater,Philip Roth,American fiction,3.85,122.0
Civilwarland in Bad Decline,George Saunders,Short stories,4.22,12271.0
Six Memos for the Next Millennium,Italo Calvino,Literature,4.23,2887.0
Total Recall,Piers Anthony,Fiction,3.93,7932.0
London Fields,Martin Amis,City and town life,3.73,8379.0
"Cry, the Beloved Country",Alan Paton,Classical fiction,3.89,729.0
American Pastoral,Philip Roth,American literature,3.92,44929.0
Deception,Philip Roth,Adultery,3.34,1474.0
A Farewell to Arms,Ernest Hemingway,War,3.8,210197.0
Cross Stitch,Diana Gabaldon,Historical fiction,4.22,2319.0
Ratner's Star,Don DeLillo,Life on other planets,3.49,1478.0
Things Fall Apart,Chinua Achebe;Sandra Widner,Igbo (African people),3.64,40.0
C++ Programmer's Notebook,James Edward Keogh;John Shapley Gray,Computers,3.0,3.0
Java,Walter J. Savitch,Computers,3.86,23.0
Leadership in Organizations,Gary A. Yukl,Business & Economics,3.68,55.0
Organized Crime,Michael D. Lyman;Gary W. Potter,Law,3.83,12.0
World Studies: Eastern Hemisphere,Heidi Hayes Jacobs;Pearson Prentice Hall;Kate Kinsella;Michal L. LeVasseur,Juvenile Nonfiction,2.0,2.0
Astronomy,Eric Chaisson;Stephen McMillan,Mathematics,3.85,153.0
The African-American Odyssey,Darlene Clark Hine;William C. Hine;Stanley Harrold,History,3.95,3.0
The Visual Arts,Hugh Honour;John Fleming,Art,3.82,39.0
Three Genres,Stephen Minot,Language Arts & Disciplines,3.65,36.0
Data Structures and Abstractions with Java,Frank M. Carrano,Computers,3.44,34.0
Social Psychology,Elliot Aronson;Timothy D. Wilson;Robin M. Akert,Psychology,3.98,38.0
Big Money,Pelham G. Wodehouse,Fiction,3.92,1069.0
Kiss Kiss,Roald Dahl,Fiction,4.11,5652.0
The Nice and the Good,Iris Murdoch,Fiction,3.84,1472.0
Switch Bitch,Roald Dahl,Fiction,4.0,6575.0
The Pearl,John Steinbeck,Classic,3.64,1431.0
My Uncle Oswald,Roald Dahl,Fiction,3.9,7833.0
Wodehouse on crime,P.G. Wodehouse,Mystery,4.39,3143.0
Water Music,T. Coraghessan Boyle,Fiction,4.17,3128.0
Roald Dahl's Book of Ghost Stories,Roald Dahl,"Ghost stories, American",3.69,2403.0
"I, Claudius and Claudius the God",Robert Graves,Autobiographical fiction,4.43,2422.0
The New York Trilogy,Paul Auster,Mystery,3.79,11696.0
The Pigeon,Patrick Süskind,Pigeons,3.68,5832.0
You Bright and Risen Angels,William T. Vollmann,Fiction,4.08,747.0
Moon Palace,Paul Auster,Fiction,3.98,14594.0
The Job,William S. Burroughs,Biography & Autobiography,4.05,922.0
Americana,Don DeLillo,Fiction,3.43,367.0
Q E D,Richard Phillips Feynman,Electrons,4.24,276.0
Love's Executioner,Irvin D. Yalom,Existential psychotherapy,4.2,216.0
East is East,T. Coraghessan Boyle,Fiction,3.64,2047.0
Ways of Seeing,John Berger;Sven Blomberg;Chris Fox;Michael Dibb;Richard Hollis,Art,3.78,177890.0
Montaillou,Emmanuel Le Roy Ladurie,Albigenses,3.97,71.0
L'usage de plaisirs,Michel Foucault,Sex,4.07,47.0
Case Histories I,Sigmund Freud,Child analysis,3.74,33.0
The Big Rock Candy Mountain,Wallace Stegner,Fiction,4.15,5910.0
The Spectator Bird,Wallace Earle Stegner;Wallace Stegner,Fiction,3.98,4537.0
Sailor Song,Ken Kesey,Fiction,3.57,1956.0
The Best of Young British Novelists,Bill Buford,Fiction,3.94,2.0
Liar's Poker,Michael M. Lewis,Biography & Autobiography,4.15,22710.0
The Anglo-Saxons,James Campbell,History,4.05,516.0
Journal of a Novel,John Steinbeck,Literary Criticism,4.09,998.0
We Were the Rats,Lawson Glassop,"Tobruk, Battles of, 1941-1942",3.23,13.0
The Portable James Joyce,James Joyce,Literary Collections,4.16,624.0
The Portable Dorothy Parker,Dorothy Parker,Literary Collections,4.34,9391.0
Mao II,Don DeLillo,Fiction,3.68,8085.0
ALEXANDRIA QUARTET,LAWRENCE DURRELL,Literary Fiction,4.17,9842.0
Justine,Lawrence Durrell,Fiction,3.9,5183.0
Clea,Lawrence Durrell,Fiction,4.19,1824.0
The Music of Chance,Paul Auster,Fiction,3.9,354.0
Libra,Don DeLillo,Fiction,3.99,11361.0
The Assault,Reinaldo Arenas;Andrew Hurley,Fiction,3.78,137.0
Chickenhawk - Back in the World,Robert Mason,Biography & Autobiography,4.05,166.0
Beyond the Hundredth Meridian,Wallace Stegner,Biography & Autobiography,4.07,2870.0
Ludwig Wittgenstein,Ray Monk,Biography & Autobiography,4.35,3498.0
Of Mice and Men,John Steinbeck,Fiction,3.86,15908.0
Leviathan,Paul Auster,Fiction,3.95,11238.0
The Roses of No Man's Land,Lyn MacDonald,History,4.26,280.0
Essays,Michel de Montaigne,Literary Collections,4.23,1121.0
Untouchable,Mulk Anand,Fiction,3.7,3168.0
The Third Man and the Fallen Idol,Graham Greene,Fiction,3.76,1243.0
Collected Short Stories,Graham Greene,Fiction,3.97,287.0
J R,William Gaddis,Fiction,4.28,2027.0
North of South,Shiva Naipaul,Social Science,3.93,264.0
The Monkey's Wrench,Primo Levi,Fiction,3.93,576.0
Six Characters in Search of an Author and Other Plays,Luigi Pirandello,Drama,3.95,2888.0
Humboldt's Gift,Saul Bellow,Fiction,3.86,6760.0
The Crucible,Arthur Miller,Drama,3.57,1297.0
Species of Spaces and Other Pieces,Georges Perec,Literary Collections,4.28,1295.0
The Act of Creation,Arthur Koestler,Philosophy,4.26,349.0
The Ghost in the Machine,Arthur Koestler,Philosophy,4.01,450.0
"I Ching, Or, Book of Changes",Richard Wilhelm;Cary F. Baynes,Confucianism,4.19,123.0
I Ching,John Blofeld,"Body, Mind & Spirit",4.19,42.0
Holy Madness,Georg Feuerstein,Religion,3.71,15.0
The Beloved,Kahlil Gibran;John Walbridge,Fiction,4.19,320.0
Who are You?,Malcolm Godwin,"Body, Mind & Spirit",3.48,250.0
Harvesting the Heart,Jodi Picoult,Fiction,3.6,38397.0
Whores for Gloria,William T. Vollmann,Fiction,3.69,896.0
"Selected letters, 1940-1956",Jack Kerouac;Ann Charters,Biography & Autobiography,4.12,775.0
Regeneration,Pat Barker,Fiction,4.03,19320.0
"Raise High the Roof Beam, Carpenters and Seymour",Jerome David Salinger,American fiction,4.12,246.0
For Esmé - with Love and Squalor,Jerome David Salinger,Fiction,4.19,2268.0
The Tortilla Curtain,T. Coraghessan Boyle,Fiction,3.65,23410.0
How the Mind Works,Steven Pinker,Philosophy,3.97,225.0
Death of a Salesman,Gerald Clifford Weales,Drama,3.5,900.0
Dubliners,James Joyce;Robert Scholes;A. Walton Litz,Fiction,3.85,320.0
The Coming Plague,Laurie Garrett,Medical,4.17,8597.0
The Making of Pride and Prejudice,Sue Birtwistle;Susie Conklin,Performing Arts,4.43,3860.0
